Pool Price

""

Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
"07/20/2020 12","36.13","29.95","9650.0"
"07/20/2020 13","38.14","29.95","9708.0"
"07/20/2020 14","37.14","29.92","9761.0"
"07/20/2020 15","38.50","29.89","9780.0"
"07/20/2020 16","40.54","29.90","9785.0"
"07/20/2020 17","59.02","29.94","9840.0"
"07/20/2020 18","65.83","29.98","9830.0"
"07/20/2020 19","37.33","29.98","9732.0"
"07/20/2020 20","37.07","29.98","9593.0"
"07/20/2020 21","36.83","30.00","9432.0"
"07/20/2020 22","36.81","30.01","9305.0"
"07/20/2020 23","36.89","30.02","9195.0"
"07/20/2020 24","36.76","30.03","8882.0"
"07/21/2020 01","32.59","30.04","8590.0"
"07/21/2020 02","28.88","30.05","8385.0"
"07/21/2020 03","27.99","30.06","8244.0"
"07/21/2020 04","27.20","30.06","8209.0"
"07/21/2020 05","26.84","30.07","8211.0"
"07/21/2020 06","26.58","30.07","8253.0"
"07/21/2020 07","26.82","30.07","8410.0"
"07/21/2020 08","21.61","30.07","8819.0"
"07/21/2020 09","28.86","30.07","9164.0"
"07/21/2020 10","31.20","30.07","9371.0"
"07/21/2020 11","36.14","30.08","9616.0"
"07/21/2020 12","31.29","30.07","9732.0"
"07/21/2020 13","33.46","30.07","9826.0"
"07/21/2020 14","36.61","30.07","9832.0"
"07/21/2020 15","36.58","30.07","9841.0"
"07/21/2020 16","37.01","30.08","9836.0"
"07/21/2020 17","36.91","30.08","9884.0"
"07/21/2020 18","36.69","30.08","9893.0"
"07/21/2020 19","37.11","30.08","9830.0"
"07/21/2020 20","36.64","30.09","9711.0"
"07/21/2020 21","36.37","30.09","9536.0"
"07/21/2020 22","34.41","30.09","9324.0"
"07/21/2020 23","32.71","30.10","9150.0"
"07/21/2020 24","32.99","30.09","8828.0"
"07/22/2020 01","30.49","30.09","8623.0"
"07/22/2020 02","25.69","30.08","8446.0"
"07/22/2020 03","25.51","30.07","8311.0"
"07/22/2020 04","25.34","30.06","8190.0"
"07/22/2020 05","24.73","30.05","8137.0"
"07/22/2020 06","25.34","30.05","8203.0"
"07/22/2020 07","29.93","30.05","8436.0"
"07/22/2020 08","31.42","30.05","8803.0"
"07/22/2020 09","30.79","30.05","9084.0"
"07/22/2020 10","31.91","30.04","9348.0"
"07/22/2020 11","30.42","30.01","9547.0"
"07/22/2020 12","36.06","29.84","9775.0"
"07/22/2020 13","42.41","29.69","9887.0"
"07/22/2020 14","42.52","29.58","9897.0"
"07/22/2020 15","43.70","29.48","9934.0"
"07/22/2020 16","683.51","30.27","9965.0"
"07/22/2020 17","489.26","30.79","9966.0"
"07/22/2020 18","439.59","31.25","9945.0"
"07/22/2020 19","123.18","31.33","9821.0"
"07/22/2020 20","121.20","31.45","9745.0"
"07/22/2020 21","41.62","31.46","9631.0"
"07/22/2020 22","37.09","31.47","9478.0"
"07/22/2020 23","36.70","31.47","9334.0"
"07/22/2020 24","37.35","31.48","9039.0"
"07/23/2020 01","37.20","31.50","8758.0"
"07/23/2020 02","31.42","31.51","8574.0"
"07/23/2020 03","30.30","31.53","8459.0"
"07/23/2020 04","30.08","31.54","8405.0"
"07/23/2020 05","30.48","31.55","8398.0"
"07/23/2020 06","30.37","31.57","8421.0"
"07/23/2020 07","34.89","31.59","8565.0"
"07/23/2020 08","33.57","31.60","8966.0"
"07/23/2020 09","36.61","31.60","9298.0"
"07/23/2020 10","37.30","31.61","9495.0"
"07/23/2020 11","37.74","31.61","9721.0"
"07/23/2020 12","38.29","31.56","9882.0"
"07/23/2020 13","37.66","31.53","9961.0"
"07/23/2020 14","37.60","31.52","10005.0"
"07/23/2020 15","37.96","31.46","9977.0"
"07/23/2020 16","38.18","31.40","9993.0"
"07/23/2020 17","36.82","31.30","9968.0"
"07/23/2020 18","32.30","31.20","9864.0"
"07/23/2020 19","29.90","31.16","9684.0"
"07/23/2020 20","29.38","31.15","9626.0"
"07/23/2020 21","31.78","31.15","9483.0"
"07/23/2020 22","27.91","31.14","9299.0"
"07/23/2020 23","27.11","31.13","9178.0"
"07/23/2020 24","32.32","31.13","8790.0"
"07/24/2020 01","30.54","31.13","8497.0"
"07/24/2020 02","29.81","31.14","8279.0"
"07/24/2020 03","30.23","31.16","8185.0"
"07/24/2020 04","30.29","31.17","8169.0"
"07/24/2020 05","30.30","31.20","8144.0"
"07/24/2020 06","30.30","31.21","8213.0"
"07/24/2020 07","30.25","31.22","8406.0"
"07/24/2020 08","30.27","31.23","8747.0"
"07/24/2020 09","30.41","31.23","9030.0"
"07/24/2020 10","30.25","31.22","9246.0"
"07/24/2020 11","30.87","31.21","9407.0"
"07/24/2020 12","31.07","31.17","9509.0"
"07/24/2020 13","30.50","31.09","9564.0"
"07/24/2020 14","29.10","30.98","9552.0"
"07/24/2020 15","29.45","30.89","9582.0"
"07/24/2020 16","27.49","30.81","9599.0"
"07/24/2020 17","30.05","30.80","9583.0"
"07/24/2020 18","30.51","30.76","9536.0"
"07/24/2020 19","23.46","30.75","9268.0"
"07/24/2020 20","19.87","30.74","9124.0"
"07/24/2020 21","16.46","30.72","8916.0"
"07/24/2020 22","16.84","30.70","8851.0"
"07/24/2020 23","28.84","30.70","8773.0"
"07/24/2020 24","29.52","30.70","8467.0"
